title,url,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Drunken Lullabies,https://open.spotify.com/track/0aE8nMLrrd2m6lTscFIbZw,FLOGGING MOLLY,0.385,0.969,7,-4.234,1,0.0748,0.0015,0.0462,0.0817,0.854,156.177,230640,4
Passionfruit,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,DRAKE,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
Colder Heavens,https://open.spotify.com/track/15qtOgzv7mW3CQWQVgWIM6,BLANCO WHITE,0.383,0.547,5,-9.899,0,0.0376,0.771,0.00216,0.0913,0.282,91.899,273893,4
Liability,https://open.spotify.com/track/0xBsZrUrsZcCCrpxryZDHc,LORDE,0.604,0.224,10,-11.118,0,0.113,0.925,0.0,0.134,0.326,84.109,172061,4
Get It Together,https://open.spotify.com/track/5WHVJ7MILL1r5xs8hDfJ4i,"DRAKE, BLACK COFFEE, JORJA SMITH",0.781,0.721,5,-9.133,0,0.0514,0.0945,0.391,0.104,0.849,123.011,250337,4
Dennis Rodman,https://open.spotify.com/track/4kkHGZRAkOYS7zeazOLhXn,"MANSIONZ, DENNIS RODMAN",0.873,0.391,1,-5.36,1,0.0938,0.066,0.00258,0.114,0.603,96.004,190173,4
Madiba Riddim,https://open.spotify.com/track/0ZaSipkjXePTkzOQW29rxt,DRAKE,0.839,0.521,7,-10.45,1,0.166,0.245,0.00545,0.607,0.33,105.992,205163,4
Glow,https://open.spotify.com/track/1kLsyb2tgz9N5Qkr6QAK3t,"DRAKE, KANYE WEST",0.688,0.384,9,-8.824,0,0.375,0.2,0.0,0.708,0.432,162.097,206120,4
Teenage Fever,https://open.spotify.com/track/5ACkknqH2GcrVtmBB7LaRv,DRAKE,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,4
Johnny B. Goode,https://open.spotify.com/track/7KkzVlps826NezcpXPvEuV,CHUCK BERRY,0.502,0.931,5,-4.686,1,0.174,0.697,3.92e-06,0.281,0.903,166.407,162093,4
